Loan_ID,Gender,Married,Dependents,Education,Employment_Status,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term,Credit_History,Property_Area,Age,Loan_Status,Monthly_EMI,DTI_Ratio
LN03437,Female,Yes,3,Graduate,Salaried,34473.91166923328,13914.72157435152,240732.45836615388,180.0,1,Semiurban,40.08402835772523,Approved,1337.4025464786328,0.027638774993834755
LN04823,Female,Yes,1,Graduate,Self-Employed,59718.02068186657,18720.81478667386,122547.2784420567,180.0,1,Semiurban,47.24364357910529,Approved,680.8182135669817,0.008679606339133355
LN04186,Female,Yes,1,Not Graduate,Salaried,106981.51573401516,2229.154376688812,140550.9377743688,60.0,1,Rural,24.29206965825301,Approved,2342.5156295728134,0.021449512462456893
LN00380,Male,Yes,2,Graduate,Salaried,43205.56315638448,35578.11177097762,146135.73812668523,120.0,1,Semiurban,38.74224365810564,Approved,1217.797817722377,0.01545748937003988
LN04698,Female,Yes,0,Graduate,Salaried,62526.28398966401,20212.157911887247,203408.0517437992,180.0,1,Semiurban,41.16472074982296,Approved,1130.0447319099956,0.013658037375838093
LN00686,Male,Yes,0,Graduate,Salaried,55193.4920368373,9840.9468686766,26978.20889518973,240.0,1,Rural,38.59001637414981,Approved,112.40920372995721,0.001728456578110443
LN03978,Female,Yes,3,Graduate,Self-Employed,71362.06410257293,4873.144366315071,64638.70027147238,120.0,1,Urban,36.39973062520085,Approved,538.6558355956032,0.007065709485341429
LN04744,Female,No,0,Graduate,Salaried,92086.78216617192,31781.7992212487,81487.17053960571,120.0,0,Semiurban,30.35282210031861,Rejected,679.0597544967143,0.005482098421494279
LN01422,Male,No,2,Not Graduate,Self-Employed,52700.945409142296,3658.288547222095,118807.98756563698,180.0,1,Urban,34.940674987596864,Approved,660.0443753646499,0.011711379467571953
LN00381,Female,No,2,Graduate,Unemployed,48012.14709111956,615.8883320544082,268723.31416419963,240.0,1,Semiurban,29.123910461496703,Rejected,1119.6804756841652,0.023025410464157375
LN03806,Male,No,1,Not Graduate,Salaried,60694.27497505124,16573.465676730775,100456.96229916424,240.0,0,Urban,51.040872092653046,Rejected,418.5706762465177,0.005417146570039695
LN01917,Female,Yes,0,Not Graduate,Salaried,47583.04803497768,10427.81460680804,77767.93734657929,60.0,1,Semiurban,51.22812328044755,Approved,1296.1322891096547,0.02234292389536093
LN05809,Female,Yes,0,Graduate,Salaried,55386.76666720584,23695.72518653421,167720.32837371694,180.0,1,Semiurban,22.568192398043514,Approved,931.7796020762053,0.011782375342945628
LN05675,Male,No,1,Graduate,Salaried,60402.129337381964,6998.24701335896,119701.8508026245,240.0,0,Urban,33.77286810385638,Rejected,498.75771167760206,0.007399924728641656
LN01774,Female,Yes,2,Graduate,Self-Employed,45150.58828603904,23157.544866520693,141854.39033118825,180.0,1,Urban,37.32221441279998,Approved,788.0799462843792,0.01153713196237229
LN00346,Male,Yes,1,Graduate,Unemployed,31038.31317005352,10677.0482089267,160392.6619068823,240.0,1,Urban,34.2407973339632,Approved,668.3027579453429,0.0160205434126262
LN05235,Female,Yes,0,Graduate,Salaried,101364.52083011648,16814.610634806388,120417.70923287772,300.0,0,Urban,28.3256241842979,Rejected,401.3923641095924,0.0033964741417035287
LN04250,Male,No,0,Not Graduate,Salaried,81506.86803913795,9418.667403425494,150560.40765979496,180.0,1,Semiurban,35.52977797588484,Approved,836.4467092210831,0.009199249750357052
LN03283,Male,No,0,Graduate,Salaried,77529.11291005871,22020.303236673262,185813.12482342645,120.0,0,Semiurban,37.74645984881338,Rejected,1548.442706861887,0.01555451319352333
LN02365,Female,Yes,1,Graduate,Salaried,90674.55419832998,18516.62354974059,209806.6858545553,240.0,0,Urban,31.95981284506396,Rejected,874.1945243939805,0.00800609117350992
LN01916,Male,Yes,2,Graduate,Self-Employed,44244.32496183522,12253.562506337026,20000.0,240.0,1,Semiurban,41.81754458172553,Approved,83.33333333333333,0.0014749814031591655
LN02968,Male,No,0,Graduate,Self-Employed,23587.93398902965,20336.95248006193,165581.71494037125,300.0,1,Rural,33.11308543408386,Approved,551.9390498012375,0.01256552023622458
LN02309,Female,Yes,2,Graduate,Salaried,77753.10851747672,12349.350031114203,150632.72320743272,180.0,0,Rural,21.0,Rejected,836.8484622635151,0.009287742817941145
LN01881,Female,Yes,0,Graduate,Self-Employed,92311.65647096463,12612.473979365655,105969.67701091754,180.0,1,Rural,50.054788479158255,Approved,588.7204278384307,0.005610915480658887
LN00849,Male,Yes,1,Graduate,Salaried,49380.060899963646,5064.06996068552,93995.74337372326,120.0,1,Semiurban,24.346239927080003,Approved,783.2978614476939,0.01438718644352245
LN03965,Male,Yes,2,Graduate,Salaried,67262.31255489046,20011.292760645763,210933.26053944608,120.0,0,Urban,38.75574657596248,Rejected,1757.7771711620508,0.020140994116226062
LN02001,Male,Yes,2,Graduate,Salaried,57109.62658568964,9963.497396244036,139458.264067271,180.0,1,Rural,39.44971750004319,Approved,774.7681337070611,0.011551096589980615
LN01714,Male,No,1,Graduate,Self-Employed,49293.436280921545,27991.498205476677,134201.80243236508,360.0,0,Semiurban,35.54941273413164,Rejected,372.78278453434746,0.0048234858062790415
